Reference,Spike,NIR
14.01717370024583,14.077587497279222,15.065809413749994
14.610971696844263,14.567169630124267,14.710112610588256
14.933776470673223,14.356444150229288,14.926397397481784
13.56172091894826,14.394015196203197,14.699008887042455
14.67164987552442,14.735076190577272,14.569600565148265
14.70242235686303,15.025222327597808,14.966795711901193
14.27010401594614,15.459126989126025,14.541494149502096
14.281347257686326,14.490658630422523,14.967274155062302
14.274219200362687,15.44236385154292,15.041987304405943
14.143984868382358,14.336876580922237,14.879157953251546
14.30912292009858,15.062635385733124,14.821626152513499
14.100645422056118,15.819596428287143,14.640372099357696
14.189498442144805,14.786095844078465,14.456093107440507
14.525783526910507,14.532146568135218,15.239709681062024
14.88379762358831,14.796958097715612,14.90894501043041
14.45588580224369,15.510833779257371,15.232456246922734
14.295596197677343,14.344556905299637,14.40228485946231
14.135521833348076,15.347130871769306,14.96761056550647
14.165131327892425,15.331825916312944,15.169266522779072
15.466334071395737,14.934589118881528,14.88948944942059
14.553635288060812,14.802757135376783,14.82344313257759
14.303725641323624,14.61781250473543,14.58723734132005
14.323780851058709,14.653390426850427,15.723264795105397
14.683835776402342,15.05931462700126,15.200200581262333
14.22251190122501,15.628108344532379,15.629683320951315
13.920718035845411,14.738640635013212,14.132023856436795
14.729902288360291,14.243719621319404,13.847436280413453
14.090537710814449,14.510567289155938,13.494684751986508
14.493944679854327,14.903304704867143,13.845560067565978
14.125620559532642,14.67317635401552,14.190520612998863
14.940919018480106,14.728884016934282,14.5054761389863
14.309762768452376,14.732002369258185,14.201100054026536
14.216223984994997,14.251079245649324,13.63122067486355
14.299496775762096,14.730485131834387,14.367485731410014
13.848362612368518,15.140092902848755,13.439959626062254
14.032952295162325,15.079043484667302,13.95365910072324
13.62798414042053,15.019998940436441,13.973552668466768
13.963602723159989,14.638907209820951,13.320701581071452
14.382282456494515,14.72336249180861,14.468023008956362
14.313640983837557,14.322188848158996,13.85085136204845
15.079798506114853,14.778736472502672,13.966385340001017
14.072542910530167,14.902078400398334,14.658059157011849
14.157854146504997,15.48238560289603,14.35466976441558
14.387750799217018,15.20060530094538,14.056627321203846
14.102263969481735,14.601766622799417,14.30550511136187
14.11259427285118,14.9422201187999,14.259708722909583
14.057072722943294,14.346156782586462,14.765142578972162
13.999205645744423,15.151281450780917,14.210357361434193
14.290468752405058,15.18916670135045,14.302509049283074
14.30126001709332,15.648446842150271,14.239020790009524
