density,treatment,str
0.3531605332169062,A,911.0372370590252
0.4343341125697702,B,961.5999416880923
0.40368789116736087,C,875.358790927219
0.54653985694012,A,914.4165041886234
0.5827528252135993,B,940.5553844964293
0.5860721435847878,C,865.6005596803136
0.2646535728426616,A,937.1688177707524
0.40036554934492014,B,931.4930632718595
0.5184345267678283,C,893.6208556997276
0.4881857051970915,A,903.2905908517329
0.5438999274649438,B,934.1200222703452
0.3792775300238054,C,889.2330141253691
0.49750707890170853,A,927.6873425059755
0.2829619984359289,B,951.6088382885921
0.3927539866757195,C,887.9466035043044
0.4929658536824321,A,916.2090266056854
0.4010468419474645,B,940.4996001251703
0.4266910430125949,C,866.8042840881827
0.3131020069824962,A,921.2041639986903
0.4371429220293644,B,962.3105381700299
0.39341367908673464,C,905.9645365423204
0.37355639323479406,A,894.9082015864624
0.5374708723125553,B,934.9473127459934
0.44539735529531743,C,883.8437949980406
0.5398771501957541,A,925.5335769607137
0.3950573445223373,B,937.1711698853707
0.35472413482756454,C,900.3186228790888
0.44278431888454073,A,895.2760718177193
0.26964412031970747,B,948.102942563349
0.2487282220702951,C,910.7489087154628
0.4490188536214536,A,891.8952721921881
0.5341774986712718,B,951.7256290379477
0.6271517913013219,C,927.8167849912295
0.5374261095447214,A,899.1909389017165
0.4121668824183311,B,981.0791985537048
0.29744574061673384,C,860.5077435692849
0.45383623415782703,A,900.6656268559357
0.36544703108104587,B,975.6620464311255
0.4395534896700479,C,871.9711146930616
0.29979729991542187,A,913.8492079680552
0.46891308614969596,B,959.1881614916254
0.37383022623062606,C,885.5759803042647
0.40170604884494987,A,919.796481781167
0.4837071700534766,B,935.0627452965123
0.3075705476875119,C,901.4964279145507
0.33723444730519186,A,894.1556474343223
0.3117198609970032,B,962.3119187649102
0.3972722195036013,C,914.0437364122693
0.4661588893358977,A,897.9878883068936
0.3752448386466696,B,944.010933903643
0.43598268054124223,C,874.893972796092
0.6068737381665661,A,929.2311077063965
0.3932673888940581,B,962.443046249859
0.3079914724578275,C,883.3291088281261
0.3890621059293895,A,925.3597393824328
0.5487183851199473,B,971.3324916738475
0.2591654123377231,C,903.3043914493975
0.721656203128546,A,910.09818960238
0.3688800955228124,B,935.0109748650182
0.35474699810256555,C,879.4256771463404
0.45581595892333143,A,987.852474676141
0.6061082134951747,B,1039.3392229452224
0.40381965745908444,C,956.850110704582
0.44243379308414793,A,994.0544898678789
0.157951056716405,B,1016.2294326390729
0.4814205868308912,C,973.4402422507044
0.44069316512150974,A,991.6671154587178
0.3037549473731141,B,980.2580271575231
0.36831825783483774,C,958.7760089844327
0.5698735360545789,A,967.8477481825142
0.4563058851751172,B,1026.013813661245
0.6262661141133253,C,938.4513513520676
0.5949923767004803,A,1005.8422001903832
0.3991136809993677,B,1018.6451344120795
0.3600799340740872,C,973.8238875125395
0.4440145932500101,A,932.901396311833
0.49033652021971963,B,1012.0999350554845
0.40964933530079317,C,949.2436178630937
0.31946241008569753,A,992.5218064261269
0.12058557781724621,B,1020.27720848592
0.5601046406023673,C,952.2769890269361
0.3364066303626913,A,1003.6257298722693
0.10699273030693757,B,1031.052269605595
0.3498253042089593,C,958.2711218871735
0.33700186364911056,A,973.4461582977492
0.30927200157837564,B,1038.92067939156
0.45806641288472305,C,958.5050122344483
0.29596573793800907,A,1001.5185550087743
0.6507638457995456,B,1005.4725539977289
0.602064167086176,C,963.8714569449543
0.3309205979179508,A,988.907177331868
0.557059950628436,B,1004.7122245075485
0.5813526852696737,C,965.660682236648
0.42993980018817807,A,969.012261659984
0.2825921363401671,B,1036.8380791615705
0.47292885539456736,C,972.8709944701548
0.7686075898179007,A,987.8476161713554
0.49963884728928926,B,1017.1253220626147
0.4318211434058542,C,988.1701284581685
0.34156771714389256,A,1003.0039872939258
0.5364077543320396,B,1008.659642734466
0.5603688144673294,C,981.2905775003676
0.3974309441978324,A,991.1552043542505
0.2584186843457906,B,1004.7379054101048
0.4128393459792057,C,978.9721695247816
0.410780365311924,A,1025.7979792530039
0.47867189864282944,B,1033.457894968029
0.3921429940630139,C,941.9455359748803
